NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT04613596,Phase 2 Trial of Adagrasib Monotherapy and in Combination With Pembrolizumab and a Phase 3 Trial of Adagrasib in Combination in Patients With a KRAS G12C Mutation KRYSTAL-7,https://clinicaltrials.gov/study/NCT04613596,Recruiting,Advanced Non-Small Cell Lung Cancer|Metastatic Non-Small Cell Lung Cancer,DRUG: Adagrasib|DRUG: Adagrasib|DRUG: Adagrasib|DRUG: Adagrasib|DRUG: Pembrolizumab,Mirati Therapeutics Inc.,Not available,INTERVENTIONAL
NCT04612829,To Check Effectiveness of Medistus Antivirus Lozenges for Cough,https://clinicaltrials.gov/study/NCT04612829,Completed,Throat Infection|Pharyngitis|Sore Throat,DEVICE: Medistus Antivirus Lozenges,Nutrin GmbH,Not available,INTERVENTIONAL
NCT04612283,NGA-01 Gel for the Treatment of Osteoarthritis With Joint Pain,https://clinicaltrials.gov/study/NCT04612283,Completed,Arthritis Osteoarthritis,OTHER: NGA-01 gel|OTHER: Placebo,Nutrin GmbH,Galaxa Pharma|Mittal Global Clinical Trial Services,INTERVENTIONAL
NCT04611477,Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals,https://clinicaltrials.gov/study/NCT04611477,Completed,Overweight and Obesity,OTHER: Rice Hulk|OTHER: Synbiotic365 Ver 5|OTHER: Synbiotic365 Ver 7,Vedic Lifesciences Pvt. Ltd.,Not available,INTERVENTIONAL
NCT04609878,Study to Assess PT010 in Adult and Adolescent Participants With Inadequately Controlled Asthma (KALOS),https://clinicaltrials.gov/study/NCT04609878,Completed,Asthma,DRUG: BGF MDI 320/28.8/9.6 μg|DRUG: BGF MDI 320/14.4/9.6 μg|DRUG: BFF MDI 320/9.6 μg|DRUG: BFF pMDI 320/9 μg,AstraZeneca,Not available,INTERVENTIONAL
NCT04609319,Real World Utilization and Outcomes With Dacomitinib First Line Treatment for EGFR Mutation-positive Advanced Non Small Cell Lung Cancer Among Asian Patients - A Multi Center Chart Review,https://clinicaltrials.gov/study/NCT04609319,Completed,Lung Cancer,DRUG: Dacomitinib,Pfizer,Not available,OBSERVATIONAL
NCT04608565,Remote Biomonitoring (RBM) for Temperature Surveillance of Mothers and Newborns: Pre-clinical and Clinical Evaluation,https://clinicaltrials.gov/study/NCT04608565,Completed,"Temperature Change, Body",DEVICE: Remote biomonitoring sensor device,St. John's Research Institute,Indian Institute of Science,INTERVENTIONAL
NCT04607421,A Study of Encorafenib Plus Cetuximab With or Without Chemotherapy in People With Previously Untreated Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT04607421,Active Not Recruiting,Neoplasms,DRUG: Encorafenib|DRUG: Cetuximab|DRUG: Oxaliplatin|DRUG: Irinotecan|DRUG: Leucovorin|DRUG: 5-FU|DRUG: Capecitabine|DRUG: Bevacizumab,Pfizer,"Ono Pharmaceutical Co. Ltd|Merck KGaA, Darmstadt, Germany|Eli Lilly and Company",INTERVENTIONAL
NCT04606771,A Study Comparing Savolitinib Plus Osimertinib vs Savolitinib Plus Placebo in Patients With EGFRm+ and MET Amplified Advanced NSCLC,https://clinicaltrials.gov/study/NCT04606771,Active Not Recruiting,Non-Small Cell Lung Cancer,DRUG: Osimertinib + Savolitinib|DRUG: Savolitinib + Placebo,AstraZeneca,Not available,INTERVENTIONAL
NCT04605952,Study to Find the Percentage of Cases Retaining COVID-19 IgG Antibodies 45-65 After They Have Tested Positive,https://clinicaltrials.gov/study/NCT04605952,Completed,Covid19,DIAGNOSTIC_TEST: Repeat SARS-CoV-2 IgG antibodies at 45-65 days,Tata Main Hospital,Not available,OBSERVATIONAL
NCT04605159,"A Phase III, Double-blind Study to Assess Safety and Efficacy of an RSV Maternal Unadjuvanted Vaccine, in Pregnant Women and Infants Born to Vaccinated Mothers",https://clinicaltrials.gov/study/NCT04605159,Terminated,Respiratory Syncytial Virus Infections,BIOLOGICAL: RSV MAT|DRUG: Placebo,GlaxoSmithKline,Not available,INTERVENTIONAL
NCT04603807,A Study to Compare the Efficacy and Safety of Entrectinib and Crizotinib in Participants With Advanced or Metastatic ROS1 Non-small Cell Lung Cancer (NSCLC) With and Without Central Nervous System (CNS) Metastases,https://clinicaltrials.gov/study/NCT04603807,Active Not Recruiting,"Carcinoma, Non-Small-Cell Lung",DRUG: Entrectinib|DRUG: Crizotinib,Hoffmann-La Roche,Not available,INTERVENTIONAL
NCT04603131,Clinical Trial to Evaluate the Immunogenicity of Chikungunya Vaccine,https://clinicaltrials.gov/study/NCT04603131,Completed,Chikungunya,BIOLOGICAL: Inactivated Chikungunya virus vaccine 20 mcg|BIOLOGICAL: Inactivated Chikungunya virus vaccine 30 mcg|BIOLOGICAL: Inactivated Chikungunya virus vaccine 10 mcg|BIOLOGICAL: Placebo,Bharat Biotech International Limited,Not available,INTERVENTIONAL
NCT04600752,Study to Evaluate the Safety and Clinical Efficacy of Augmentin® Extra Strength-600 in Children With Acute Otitis Media in India,https://clinicaltrials.gov/study/NCT04600752,Completed,"Otitis Media|Infections, Respiratory Tract|Respiratory Tract Infections",DRUG: Augmentin (ES)-600,GlaxoSmithKline,Iqvia Pty Ltd,INTERVENTIONAL
NCT04598477,A Study to Assess the Long-term Safety and Efficacy of a Subcutaneous Formulation of Efgartigimod PH20 SC in Adults With Pemphigus (Vulgaris or Foliaceus),https://clinicaltrials.gov/study/NCT04598477,Terminated,Pemphigus Vulgaris|Pemphigus Foliaceus,BIOLOGICAL: efgartigimod PH20 SC|DRUG: prednisone,argenx,Not available,INTERVENTIONAL
NCT04598451,A Study to Assess the Efficacy and Safety of a Subcutaneous Formulation of Efgartigimod PH20 SC in Adults With Pemphigus (Vulgaris or Foliaceus),https://clinicaltrials.gov/study/NCT04598451,Completed,Pemphigus Vulgaris|Pemphigus Foliaceus,BIOLOGICAL: efgartigimod PH20 SC|OTHER: Placebo|DRUG: prednisone,argenx,Not available,INTERVENTIONAL
NCT04597528,Elective Induction of Labour at Thirty Nine Weeks: a Prospective Observational Study,https://clinicaltrials.gov/study/NCT04597528,Completed,Pregnancy Related,OTHER: Elective Induction,Jubilee Mission Medical College and Research Institute,Not available,OBSERVATIONAL
NCT04596631,A Research Study to Compare a New Medicine Oral Semaglutide to a Dummy Medicine in Children and Teenagers With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT04596631,Completed,"Diabetes Mellitus, Type 2",DRUG: Oral semaglutide|DRUG: Placebo (semaglutide),Novo Nordisk A/S,Not available,INTERVENTIONAL
NCT04596085,"Study to Evaluate Efficacy and Safety of ""VIRACIDE"" IN THE MANAGEMENT OF CORONA VIRUS DISEASE 2019 (COVID-19)",https://clinicaltrials.gov/study/NCT04596085,Completed,Covid19,DIETARY_SUPPLEMENT: Investigational Product - ViraCide|OTHER: Placebo - Starch Powder Soft gels,"The Herb, Inc",ProRelix Research,INTERVENTIONAL
NCT04595370,"Efficacy, Safety and Tolerability of AZD9977 and Dapagliflozin in Participants With Heart Failure and Chronic Kidney Disease",https://clinicaltrials.gov/study/NCT04595370,Completed,Heart Failure|Chronic Kidney Disease,DRUG: AZD9977|DRUG: Dapagliflozin,AstraZeneca,Not available,INTERVENTIONAL
NCT04594954,Effects of Fecal Microbiota Transplantation on Weight in Obese Patients With Non-alcoholic Fatty Liver Disease,https://clinicaltrials.gov/study/NCT04594954,Unknown,Non-Alcoholic Fatty Liver Disease,DIETARY_SUPPLEMENT: Diet|OTHER: FMT|OTHER: Physical Activity,"Institute of Liver and Biliary Sciences, India",Not available,INTERVENTIONAL
NCT04592588,Evaluating an Online Wellness Intervention for Indian College Students,https://clinicaltrials.gov/study/NCT04592588,Completed,Depressive Symptoms|Anxiety|Happiness,BEHAVIORAL: Common Elements Toolbox|BEHAVIORAL: Wait-list control,University of Pennsylvania,Ashoka University|Jindal Global University,INTERVENTIONAL
NCT04591535,PK Study of WD-1603 in Healthy Subjects,https://clinicaltrials.gov/study/NCT04591535,Unknown,Parkinson Disease,DRUG: WD-1603 CARBIDOPA/LEVODOPA EXTENDED-RELEASE TABLETS,"Hong Kong WD Pharmaceutical Co., Limited",Not available,INTERVENTIONAL
NCT04588909,Outcomes of Elective Colorectal Cancer Surgery During COVID 19 Pandemic: Implications for Cancer Care Policy,https://clinicaltrials.gov/study/NCT04588909,Unknown,Colo-rectal Cancer,PROCEDURE: Colorectal resections,Sheri Kashmir Institute of Medical Sciences,Not available,OBSERVATIONAL
NCT04588402,"Impact of HPV Vaccination on Prevention of Cervical HPV Infection in Sikkim, India",https://clinicaltrials.gov/study/NCT04588402,Unknown,Cervical Cancer,"BIOLOGICAL: The study being observational in nature, there is no intervention. The investigators will only collect cervical samples from married women within a specified age range at different intervals.",International Agency for Research on Cancer,"Department of Health and Family welfare, Government of Sikkim|Sikkim Manipal Institute|Rajiv Gandhi Centre for Biotechnology",OBSERVATIONAL
NCT04587960,Delayed Primary Closure of Skin in Emergency Caesarean Section,https://clinicaltrials.gov/study/NCT04587960,Completed,Cesarean Wound Disruption|Cesarean Section; Infection,PROCEDURE: Delayed primary closure of skin incision in Caesarean section in experimental group|PROCEDURE: Primary closure of skin incision in Caesarean section in active comparator group,Dr.Jhuma Biswas,Not available,INTERVENTIONAL
NCT04586023,Study to Evaluate the Efficacy and Safety of Fenebrutinib Compared With Teriflunomide in Relapsing Multiple Sclerosis (RMS),https://clinicaltrials.gov/study/NCT04586023,Active Not Recruiting,Relapsing Multiple Sclerosis,DRUG: Fenebrutinib|DRUG: Teriflunomide|DRUG: Placebo,Hoffmann-La Roche,Not available,INTERVENTIONAL
NCT04583085,Interplay of miRNA-146a and miRNA-126 in Chronic Periodontitis Patients With Coronary Artery Disease,https://clinicaltrials.gov/study/NCT04583085,Completed,Chronic Periodontitis|Coronary Artery Disease|miRNA,Not available,Meenakshi Ammal Dental College and Hospital,Not available,OBSERVATIONAL
NCT04582331,Improving Real-time COVID-19 Monitoring Through Smartphone Voice Analysis,https://clinicaltrials.gov/study/NCT04582331,Completed,Covid19,OTHER: Smartphone-based voice and self-reported symptom collection,Sonde Health,Not available,OBSERVATIONAL
NCT04580940,SpyGlass™ Discover Percutaneous,https://clinicaltrials.gov/study/NCT04580940,Completed,Pancreatic Diseases|Bile Duct Obstruction|Bile Duct Diseases,DEVICE: SpyGlass™ Discover Digital System,Boston Scientific Corporation,Not available,OBSERVATIONAL
NCT04578834,Study of Efficacy and Safety of LNP023 in Primary IgA Nephropathy Patients,https://clinicaltrials.gov/study/NCT04578834,Completed,IgA Nephropathy,DRUG: Placebo|DRUG: LNP023,Novartis Pharmaceuticals,Not available,INTERVENTIONAL
NCT04577924,Pre-hospital Care Profile of Road Traffic Injury Victims- Kerala,https://clinicaltrials.gov/study/NCT04577924,Completed,Trauma|Road (Traffic) Accident [RTA] Nos,OTHER: Interview,Jubilee Mission Medical College and Research Institute,Not available,OBSERVATIONAL
NCT04576156,A Study Comparing Imetelstat Versus Best Available Therapy for the Treatment of Intermediate-2 or High-risk Myelofibrosis (MF) Who Have Not Responded to Janus Kinase (JAK)-Inhibitor Treatment,https://clinicaltrials.gov/study/NCT04576156,Active Not Recruiting,Myelofibrosis,DRUG: Imetelstat|DRUG: Best Available Therapy (BAT),Geron Corporation,Not available,INTERVENTIONAL
NCT04573478,Atrasentan in Patients With IgA Nephropathy,https://clinicaltrials.gov/study/NCT04573478,Active Not Recruiting,IgA Nephropathy|Immunoglobulin A Nephropathy,DRUG: Atrasentan|DRUG: Placebo,"Chinook Therapeutics, Inc.",Not available,INTERVENTIONAL
NCT04572464,"Effectiveness of Mindfulness Based Meditation on Well-being, Self Compassion & Cognizance Among Nurses Working in Intensive Care Units",https://clinicaltrials.gov/study/NCT04572464,Completed,Mindfulness is a Moment by Moment Awareness to Remain Purposefully and Non Judgmentally Attentive to Their Own Experience,OTHER: Mindfulness Based Guided Meditation,"Institute of Liver and Biliary Sciences, India",Not available,INTERVENTIONAL
NCT04571957,Expanding Donor Pool for Live Donor Liver Transplantation: Utilization of Donors With NASH After Optimization,https://clinicaltrials.gov/study/NCT04571957,Completed,Non Alcoholic Steatohepatitis,OTHER: No Intervention,"Institute of Liver and Biliary Sciences, India",Not available,OBSERVATIONAL
NCT04565990,A Study of Selexipag in Participants Who Participated in a Previous Selexipag Study,https://clinicaltrials.gov/study/NCT04565990,Completed,"Hypertension, Pulmonary",DRUG: Selexipag,Actelion,Not available,INTERVENTIONAL
